,Year,Name,Games,Category,PPG,TRB,APG,SPG,BPG,FGP,FG3P,FTPCT,WS,WS_per_48
85,2014,Nolan Richardson   ,,Coach,,,,,,,,,,
86,2014,Mitch Richmond   ,976,Player,21.0,3.9,3.5,1.2,0.3,.455,.388,.850,79.3,.111
87,2014,Guy Rodgers   ,892,Player,11.7,4.3,7.8,,,.378,,.721,33.3,.056
88,2014,David Stern   ,,Contributor,,,,,,,,,,
89,2014,Gary Williams   ,,Coach,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,2013,Roger Brown   ,605,Player,17.4,6.2,3.8,0.7,0.6,.469,.321,.791,65.2,.146
93,2013,Russ Granik   ,,Contributor,,,,,,,,,,
94,2013,Richie Guerin   ,848,Player,17.3,5.0,5.0,,,.416,,.780,69.2,.121
95,2013,Sylvia Hatchell   ,,Coach,,,,,,,,,,
96,2013,E.B. Henderson   ,,Contributor,,,,,,,,,,
97,2013,Bernard King   ,874,Player,22.5,5.8,3.3,1.0,0.3,.518,.172,.730,75.4,.123
98,2013,Guy Lewis   ,,Coach,,,,,,,,,,
99,2013,Gary Payton   ,1335,Player,16.3,3.9,6.7,1.8,0.2,.466,.317,.729,145.5,.148
100,2013,Rick Pitino   ,,Coach,,,,,,,,,,
101,2013,Oscar Schmidt   ,,Player,,,,,,,,,,
102,2013,WNBA,,Player,,,,,,,,,,
103,2013,Jerry Tarkanian   ,,Coach,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,2012,All American Red Heads   ,,Team,,,,,,,,,,
107,2012,Lidia Alexeeva   ,,Coach,,,,,,,,,,
108,2012,Don Barksdale   ,,Contributor,,,,,,,,,,
109,2012,Mel Daniels   ,639,Player,18.4,14.9,1.8,0.6,1.5,.468,.088,.657,64.8,.138
110,2012,Phil Knight   ,,Contributor,,,,,,,,,,
111,2012,Katrina McClain   ,,Player,,,,,,,,,,
112,2012,Reggie Miller   ,1389,Player,18.2,3.0,3.0,1.1,0.2,.471,.395,.888,174.4,.176
113,2012,Don Nelson   ,,Coach,,,,,,,,,,
114,2012,Hank Nichols   ,,Referee,,,,,,,,,,
115,2012,Ralph Sampson   ,456,Player,15.4,8.8,2.3,0.9,1.6,.486,.172,.661,20.1,.071
116,2012,Chet Walker   ,1032,Player,18.2,7.1,2.1,0.7,0.1,.470,,.796,117.4,.168
117,2012,Jamaal Wilkes   ,828,Player,17.7,6.2,2.5,1.3,0.3,.499,.135,.759,71.3,.125
118,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,
120,2011,WNBA,,Player,,,,,,,,,,
121,2011,Artis Gilmore   ,1329,Player,18.8,12.3,2.3,0.6,2.4,.582,.150,.698,189.7,.193
122,2011,Herb Magee   ,,Coach,,,,,,,,,,
123,2011,Chris Mullin   ,986,Player,18.2,4.1,3.5,1.6,0.6,.509,.384,.865,93.1,.139
124,2011,Dennis Rodman   ,911,Player,7.3,13.1,1.8,0.7,0.6,.521,.231,.584,89.8,.150
125,2011,Arvydas Sabonis   ,470,Player,12.0,7.3,2.1,0.8,1.1,.500,.328,.786,47.3,.200
126,2011,Tom Sanders   ,,Contributor,,,,,,,,,,
127,2011,Goose Tatum   ,,Player,,,,,,,,,,
128,2011,Tara VanDerveer   ,,Coach,,,,,,,,,,
129,2011,Tex Winter   ,,Contributor,,,,,,,,,,
130,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,2010,1960 USA Men's Olympic Team   ,,Team,,,,,,,,,,
133,2010,1992 USA Men's Olympic Team   ,,Team,,,,,,,,,,
134,2010,Jerry Buss   ,,Contributor,,,,,,,,,,
135,2010,WNBA,,Player,,,,,,,,,,
136,2010,Bob Hurley   ,,Coach,,,,,,,,,,
137,2010,Dennis Johnson   ,1100,Player,14.1,3.9,5.0,1.3,0.6,.445,.172,.797,82.6,.110
138,2010,Gus Johnson   ,631,Player,16.2,12.1,2.5,,,.440,.190,.700,36.9,.085
139,2010,Karl Malone   ,1476,Player,25.0,10.1,3.6,1.4,0.8,.516,.274,.742,234.6,.205
140,2010,Maciel Pereira   ,,Player,,,,,,,,,,
141,2010,Scottie Pippen   ,1178,Player,16.1,6.4,5.2,2.0,0.8,.473,.326,.704,125.1,.146
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,2009,Michael Jordan   ,1072,Player,30.1,6.2,5.3,2.3,0.8,.497,.327,.835,214.0,.250
145,2009,David Robinson   ,987,Player,21.1,10.6,2.5,1.4,3.0,.518,.250,.736,178.7,.250
146,2009,Jerry Sloan   ,,Coach,,,,,,,,,,
147,2009,John Stockton   ,1504,Player,13.1,2.7,10.5,2.2,0.2,.515,.384,.826,207.7,.209
148,2009,C. Vivian Stringer   ,,Coach,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
151,2008,Adrian Dantley   ,955,Player,24.3,5.7,3.0,1.0,0.2,.540,.171,.818,134.2,.189
152,2008,Bill Davidson   ,,Contributor,,,,,,,,,,
153,2008,Patrick Ewing   ,1183,Player,21.0,9.8,1.9,1.0,2.4,.504,.152,.740,126.4,.150
154,2008,Hakeem Olajuwon   ,1238,Player,21.8,11.1,2.5,1.7,3.1,.512,.202,.712,162.8,.177
155,2008,Pat Riley   ,,Coach,,,,,,,,,,
156,2008,Cathy Rush   ,,Coach,,,,,,,,,,
157,2008,Dick Vitale   ,,Contributor,,,,,,,,,,
158,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,
160,2007,1966 Texas Western   ,,Team,,,,,,,,,,
161,2007,WNBA,,Coach,,,,,,,,,,
162,2007,Pedro Ferrandiz   ,,Coach,,,,,,,,,,
163,2007,Phil Jackson   ,,Coach,,,,,,,,,,
164,2007,Mirko Novosel   ,,Coach,,,,,,,,,,
165,2007,Mendy Rudolph   ,,Referee,,,,,,,,,,
166,2007,Roy Williams   ,,Coach,,,,,,,,,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,2006,Geno Auriemma   ,,Coach,,,,,,,,,,
170,2006,Charles Barkley   ,1073,Player,22.1,11.7,3.9,1.5,0.8,.541,.266,.735,177.2,.216
171,2006,Joe Dumars   ,1018,Player,16.1,2.2,4.5,0.9,0.1,.460,.382,.843,86.2,.118
172,2006,Sandro Gamba   ,,Coach,,,,,,,,,,
173,2006,Dave Gavitt   ,,Contributor,,,,,,,,,,
174,2006,Dominique Wilkins   ,1074,Player,24.8,6.7,2.5,1.3,0.6,.461,.319,.811,117.5,.148
175,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,
177,2005,Jim Boeheim   ,,Coach,,,,,,,,,,
178,2005,Hubie Brown   ,,Contributor,,,,,,,,,,
179,2005,Jim Calhoun   ,,Coach,,,,,,,,,,
180,2005,Sue Gunter   ,,Coach,,,,,,,,,,
181,2005,Hortencia Marcari   ,,Player,,,,,,,,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,2004,Jerry Colangelo   ,,Contributor,,,,,,,,,,
185,2004,Drazen Dalipagic   ,,Player,,,,,,,,,,
186,2004,Clyde Drexler   ,1086,Player,20.4,6.1,5.6,2.0,0.7,.472,.318,.788,135.6,.173
187,2004,Bill Sharman   ,,Coach,,,,,,,,,,
188,2004,Maurice Stokes   ,202,Player,16.4,17.3,5.3,,,.351,,.698,16.1,.102
189,2004,WNBA,,Player,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,2003,Leon Barmore   ,,Coach,,,,,,,,,,
193,2003,Chick Hearn   ,,Contributor,,,,,,,,,,
194,2003,Meadowlark Lemon   ,,Contributor,,,,,,,,,,
195,2003,Earl Lloyd   ,,Contributor,,,,,,,,,,
196,2003,Dino Meneghin   ,,Player,,,,,,,,,,
197,2003,Robert Parish   ,1611,Player,14.5,9.1,1.4,0.8,1.5,.537,.000,.721,147.0,.154
198,2003,James Worthy   ,926,Player,17.6,5.1,3.0,1.1,0.7,.521,.241,.769,81.2,.130
199,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,2002,Harlem Globetrotters   ,,Team,,,,,,,,,,
202,2002,Larry Brown   ,,Coach,,,,,,,,,,
203,2002,Magic Johnson   ,906,Player,19.5,7.2,11.2,1.9,0.4,.520,.303,.848,155.8,.225
204,2002,Lute Olson   ,,Coach,,,,,,,,,,
205,2002,Drazen Petrovic   ,290,Player,15.4,2.3,2.4,0.9,0.1,.506,.437,.841,21.5,.134
206,2002,Kay Yow   ,,Coach,,,,,,,,,,
207,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,
209,2001,John Chaney   ,,Coach,,,,,,,,,,
210,2001,Mike Krzyzewski   ,,Coach,,,,,,,,,,
211,2001,Moses Malone   ,1455,Player,20.3,12.3,1.3,0.8,1.3,.495,.096,.760,179.1,.174
212,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,
214,2000,Danny Biasone   ,,Contributor,,,,,,,,,,
215,2000,Bob McAdoo   ,852,Player,22.1,9.4,2.3,1.0,1.5,.503,.081,.754,89.1,.151
216,2000,Charles Newton   ,,Contributor,,,,,,,,,,
217,2000,Pat Summit   ,,Coach,,,,,,,,,,
