,Year,Name,Games,Category,PPG,TRB,APG,SPG,BPG,FGP,FG3P,FTPCT,WS,WS_per_48
396,1977,Elgin Baylor   ,846,Player,27.4,13.5,4.3,,,.431,,.780,104.2,.148
397,1977,"Charles ""Tarzan"" Cooper   ",,Contributor,,,,,,,,,,
398,1977,Lauren Gale   ,,Player,,,,,,,,,,
399,1977,William Johnson   ,,Player,,,,,,,,,,
400,1977,Frank McGuire   ,,Coach,,,,,,,,,,
401,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
403,1976,Tom Gola   ,698,Player,11.3,8.0,4.2,,,.431,,.760,53.2,.113
404,1976,Ed Krause   ,,Player,,,,,,,,,,
405,1976,Harry Litwack   ,,Coach,,,,,,,,,,
406,1976,Bill Sharman   ,711,Player,17.8,3.9,3.0,,,.426,,.883,82.8,.178
407,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,
409,1975,Joseph Brennan   ,,Player,,,,,,,,,,
410,1975,Emil Liston   ,,Contributor,,,,,,,,,,
411,1975,Bill Russell   ,963,Player,15.1,22.5,4.3,,,.440,,.561,163.5,.193
412,1975,Robert Vandivier   ,,Player,,,,,,,,,,
413,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,
415,1974,Harry Fisher   ,,Contributor,,,,,,,,,,
416,1974,Maurice Podoloff   ,,Contributor,,,,,,,,,,
417,1974,Ernest Schmidt   ,,Player,,,,,,,,,,
418,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,
420,1973,John Beckman   ,,Player,,,,,,,,,,
421,1973,Bruce Drake   ,,Coach,,,,,,,,,,
422,1973,Arthur Lonborg   ,,Coach,,,,,,,,,,
423,1973,Elmer Ripley   ,,Contributor,,,,,,,,,,
424,1973,Dolph Schayes   ,996,Player,18.5,12.1,3.1,,,.380,,.849,142.4,.192
425,1973,John Wooden   ,,Coach,,,,,,,,,,
426,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,
428,1972,Edgar Diddle   ,,Coach,,,,,,,,,,
429,1972,Robert Douglas   ,,Contributor,,,,,,,,,,
430,1972,Paul Endacott   ,,Player,,,,,,,,,,
431,1972,Max Friedman   ,,Player,,,,,,,,,,
432,1972,Edward Gottlieb   ,,Contributor,,,,,,,,,,
433,1972,Clifford Wells   ,,Contributor,,,,,,,,,,
434,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,
436,1971,Bob Cousy   ,924,Player,18.4,5.2,7.5,,,.375,,.803,91.1,.139
437,1971,Bob Pettit   ,792,Player,26.4,16.2,3.0,,,.436,,.761,136.0,.213
438,1971,Abe Saperstein   ,,Contributor,,,,,,,,,,
439,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,
441,1970,Bernard Carnevale   ,,Coach,,,,,,,,,,
442,1970,Bob Davies   ,462,Player,14.3,2.9,4.9,,,.378,,.759,49.7,.148
443,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,
445,1969,Red Auerbach   ,,Coach,,,,,,,,,,
446,1969,Dutch Dehnert   ,,Player,,,,,,,,,,
447,1969,Henry Iba   ,,Coach,,,,,,,,,,
448,1969,Adolph Rupp   ,,Coach,,,,,,,,,,
449,1969,Charles Taylor   ,,Contributor,,,,,,,,,,
450,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,
452,1968,Clair Bee   ,,Contributor,,,,,,,,,,
453,1968,Howard Cann   ,,Coach,,,,,,,,,,
454,1968,Amory Gill   ,,Coach,,,,,,,,,,
455,1968,Alvin Julian   ,,Coach,,,,,,,,,,
456,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,
458,1966,Everett Dean   ,,Coach,,,,,,,,,,
459,1966,Joe Lapchick   ,,Player,,,,,,,,,,
460,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,
462,1965,Walter Brown   ,,Contributor,,,,,,,,,,
463,1965,Paul Hinkle   ,,Contributor,,,,,,,,,,
464,1965,Howard Hobson   ,,Coach,,,,,,,,,,
465,1965,William Mokray   ,,Contributor,,,,,,,,,,
466,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,
468,1964,John Bunn   ,,Contributor,,,,,,,,,,
469,1964,Harold Foster   ,,Player,,,,,,,,,,
470,1964,Nat Holman   ,,Player,,,,,,,,,,
471,1964,Ned Irish   ,,Contributor,,,,,,,,,,
472,1964,William Jones   ,,Contributor,,,,,,,,,,
473,1964,Ken Loeffler   ,,Coach,,,,,,,,,,
474,1964,John Russell   ,,Player,,,,,,,,,,
475,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,
477,1963,New York Rens   ,,Team,,,,,,,,,,
478,1963,Robert Gruenig   ,,Player,,,,,,,,,,
479,1963,William Reid   ,,Contributor,,,,,,,,,,
480,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,
482,1962,Jack McCracken   ,,Player,,,,,,,,,,
483,1962,Frank Morgenweck   ,,Contributor,,,,,,,,,,
484,1962,Harlan Page   ,,Player,,,,,,,,,,
485,1962,Barney Sedran   ,,Player,,,,,,,,,,
486,1962,Lynn St. John   ,,Contributor,,,,,,,,,,
487,1962,John (Cat) Thompson   ,,Player,,,,,,,,,,
488,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,
490,1961,Buffalo Germans   ,,Team,,,,,,,,,,
491,1961,Bernard Borgmann   ,,Player,,,,,,,,,,
492,1961,Forrest DeBernardi   ,,Player,,,,,,,,,,
493,1961,George Hoyt   ,,Referee,,,,,,,,,,
494,1961,George Keogan   ,,Coach,,,,,,,,,,
495,1961,Bob Kurland   ,,Player,,,,,,,,,,
496,1961,John O'Brien   ,,Contributor,,,,,,,,,,
497,1961,Andy Phillip   ,701,Player,9.1,4.4,5.4,,,.368,,.695,53.3,.077
498,1961,Ernest Quigley   ,,Referee,,,,,,,,,,
499,1961,John Roosma   ,,Player,,,,,,,,,,
500,1961,Leonard Sachs   ,,Coach,,,,,,,,,,
501,1961,Arthur Schabinger   ,,Contributor,,,,,,,,,,
502,1961,Christian Steinmetz   ,,Player,,,,,,,,,,
503,1961,David Tobey   ,,Referee,,,,,,,,,,
504,1961,Arthur Trester   ,,Contributor,,,,,,,,,,
505,1961,Edward Wachter   ,,Player,,,,,,,,,,
506,1961,David Walsh   ,,Referee,,,,,,,,,,
507,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,
509,1960,Ernest Blood   ,,Coach,,,,,,,,,,
510,1960,Victor Hanson   ,,Player,,,,,,,,,,
511,1960,George Hepbron   ,,Referee,,,,,,,,,,
512,1960,Frank Keaney   ,,Coach,,,,,,,,,,
513,1960,Ward Lambert   ,,Coach,,,,,,,,,,
514,1960,Ed Macauley   ,641,Player,17.5,7.5,3.2,,,.436,,.761,100.4,.196
515,1960,Branch McCracken   ,,Player,,,,,,,,,,
516,1960,Charles Murphy   ,,Player,,,,,,,,,,
517,1960,Henry Porter   ,,Contributor,,,,,,,,,,
518,1960,John Wooden   ,,Player,,,,,,,,,,
519,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,
521,1959,Original Celtics   ,,Team,,,,,,,,,,
522,1959,The First Team   ,,Team,,,,,,,,,,
523,1959,Phog Allen   ,,Coach,,,,,,,,,,
524,1959,Henry Clifford Carlson   ,,Coach,,,,,,,,,,
525,1959,Luther Gulick   ,,Contributor,,,,,,,,,,
526,1959,Edward Hickox   ,,Contributor,,,,,,,,,,
527,1959,Charles Hyatt   ,,Player,,,,,,,,,,
528,1959,Matthew Kennedy   ,,Referee,,,,,,,,,,
529,1959,Hank Luisetti   ,,Player,,,,,,,,,,
530,1959,Walter Meanwell   ,,Coach,,,,,,,,,,
531,1959,George Mikan   ,439,Player,23.1,13.4,2.8,,,.404,,.782,108.7,.249
532,1959,Ralph Morgan   ,,Contributor,,,,,,,,,,
533,1959,James Naismith   ,,Contributor,,,,,,,,,,
534,1959,Harold Olsen   ,,Contributor,,,,,,,,,,
535,1959,John Schommer   ,,Player,,,,,,,,,,
536,1959,Amos Alonzo Stagg   ,,Contributor,,,,,,,,,,
537,1959,Oswald Tower   ,,Contributor,,,,,,,,,,
